seal;image;name;price
Exceto sul fluminense;https://redesupermarket.com.br/wp-content/uploads/2024/05/filedecostela-300x300.png;Bife Ancho Bovino (Filé de Costela) Maturatta Friboi Peça Kg;49,98KG
N/A;https://redesupermarket.com.br/wp-content/uploads/2023/08/PeitoFrangoCongeladoGranel-Kg-400x400-2-300x300.png;Peito de Frango Lar Congelado a Granel • kg;12,97KG
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/12/LeiteLongaVidaGodamTirolUHT-1L-300x300.png;Leite Longa Vida Integral Tirol ou Godam  UHT 1L;3,99CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/09/CompostoNinhoForti-350g-300x300.png;Composto Lácteo Ninho Instantâneo Sachê 350g;14,49CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/08/LeiteCondensadoMocaTP-395g3-300x300.png;Leite Condensado Moça TP 395g;5,99CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/08/macarrao-amalia-1-300x300.png;Espaguete de Sêmola Santa Amália  • 1Kg;4,99CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/11/AcucarRefinadoCaravelasNeveAltoalegre-1Kg-13-11-24-300x300.png;Açúcar Refinado Caravelas, Neve ou Alto Alegre 1kg;3,99CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/06/FeijaoPretoSupermarketTipo1-1Kg-300x300.png;Feijão Preto Supermarket Tipo 1 • 1kg;6,99CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/03/dona-elza-300x300.png;Arroz Branco Dona Elza • 5Kg;23,95CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/11/azeite-300x300.png;Azeite Tipo Único Andorinha ou Gallo Vidro 500ml;36,90CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/08/FraldaDescartavelHuggiesTriplaProtecaoMeguinha2FraldasGratisTamanhos-300x300.png;Fralda Descartável Huggies Tripla Proteção Meguinha + 2 Fraldas Grátis;29,98CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/08/CervejaAntarcticaLata-350mlPackcom18Unidades-300x300.png;Cerveja Pilsen Antarctica 350ml Pack com 18 Unidades;53,82CADA
N/A;https://redesupermarket.com.br/wp-content/uploads/2023/09/PapelHigienicoCarinhoSelectFolhaDuplaNeutro20mLeve12Pague11Unidades-400x400-1-300x300.png;Papel Higiênico Carinho Select Folha Dupla Neutro de 20m;11,98
N/A;https://redesupermarket.com.br/wp-content/uploads/2024/09/LavaRoupasPoTixanPrimaveraCartucho-22Kg-300x300.png;Lava Roupas Em Pó Tixan Ypê Primavera Caixa 2,2Kg;17,90CADA
